mode,description,rtt_avg_ms,loss_pct,throughput_mbps,startup_time_s,rebuffer_events,rebuffer_time_s,avg_bitrate_kbps,bitrate_switches,mean_throughput_mbps
sem_controle,Congestionamento sem controle (baseline da Etapa 3),21.117,0.0,92.6,10.716,0,0.0,1414.3,1,1.778
com_controle,Congestionamento com priorizacao DASH via SDN,10.507,0.0,59.1,2.212,0,0.0,1414.3,1,8.547
